Row.names	PathwayMutatedGenes	BRCAControl_NumNonMuts	BRCAControl_NumMuts	BRCAXControl_NumNonMuts	BRCAXControl_NumMuts	BRCAControl_MutationRate	BRCAXControl_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	;ACY3(1),AGXT(2),GLUL(1)	9	0	3	4	0	0.571428571429	NA	0.0192307692307692	2.61861468283191	0.00582543491962946
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	;AP1B1(1),NUP93(1),PSMB4(1),PSMD1(1)	9	0	3	4	0	0.571428571429	NA	0.0192307692307692	2.61861468283191	0.00582543491962946
REACTOME_CELL_CYCLE_CHECKPOINTS	ORC6(1);CDC27(1),CDC7(1),MDM2(1),PSMB4(1),PSMD1(1)	8	1	2	5	0.111111111111	0.714285714286	15.4696874628869	0.0244755244755245	2.47228018480295	0.0121924361260069
BIOCARTA_PROTEASOME_PATHWAY	;PSMB4(1),RPN1(2)	9	0	4	3	0	0.428571428571	NA	0.0625	2.17881911760769	0.021871209282916
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	;FMO3(1),GSTA5(1),GSTM5(1)	9	0	4	3	0	0.428571428571	NA	0.0625	2.17881911760769	0.021871209282916
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	;SLC6A12(2),SLC7A3(1)	9	0	4	3	0	0.428571428571	NA	0.0625	2.17881911760769	0.021871209282916
REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC	;CDC27(1),PSMB4(1),PSMD1(1)	9	0	4	3	0	0.428571428571	NA	0.0625	2.17881911760769	0.021871209282916
REACTOME_CDC20_PHOSPHO_APC_MEDIATED_DEGRADATION_OF_CYCLIN_A	;CDC27(1),PSMB4(1),PSMD1(1)	9	0	4	3	0	0.428571428571	NA	0.0625	2.17881911760769	0.021871209282916
REACTOME_GAP_JUNCTION_TRAFFICKING	;DAB2(1),GJB7(1),GJD3(1)	9	0	4	3	0	0.428571428571	NA	0.0625	2.17881911760769	0.021871209282916
REACTOME_PYRUVATE_METABOLISM	;LDHA(1),PDHX(1),SLC16A8(1)	9	0	4	3	0	0.428571428571	NA	0.0625	2.17881911760769	0.021871209282916
