Row.names	PathwayMutatedGenes	BRCAXCancer_NumNonMuts	BRCAXCancer_NumMuts	BRCAXControl_NumNonMuts	BRCAXControl_NumMuts	BRCAXCancer_MutationRate	BRCAXControl_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
REACTOME_MEMBRANE_TRAFFICKING	;AP1B1(1),COPE(1),HIP1R(1),SNX9(2)	11	0	3	4	0	0.571428571429	NA	0.011437908496732	2.84282124887606	0.00322195849923462
BIOCARTA_PROTEASOME_PATHWAY	;PSMB4(1),RPN1(2)	11	0	4	3	0	0.428571428571	NA	0.0428921568627451	2.37847490151628	0.0140218219631751
KEGG_PROTEIN_EXPORT	;SEC11C(1),SRP14(1),SRP68(1)	11	0	4	3	0	0.428571428571	NA	0.0428921568627451	2.37847490151628	0.0140218219631751
REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC	;CDC27(1),PSMB4(1),PSMD1(1)	11	0	4	3	0	0.428571428571	NA	0.0428921568627451	2.37847490151628	0.0140218219631751
REACTOME_CLATHRIN_DERIVED_VESICLE_BUDDING	;AP1B1(1),HIP1R(1),SNX9(2)	11	0	4	3	0	0.428571428571	NA	0.0428921568627451	2.37847490151628	0.0140218219631751
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	;AP1B1(1),HIP1R(1),SNX9(2)	11	0	4	3	0	0.428571428571	NA	0.0428921568627451	2.37847490151628	0.0140218219631751
REACTOME_METAL_ION_SLC_TRANSPORTERS	;SLC39A3(1),SLC39A4(2)	11	0	4	3	0	0.428571428571	NA	0.0428921568627451	2.37847490151628	0.0140218219631751
REACTOME_PYRUVATE_METABOLISM	;LDHA(1),PDHX(1),SLC16A8(1)	11	0	4	3	0	0.428571428571	NA	0.0428921568627451	2.37847490151628	0.0140218219631751
REACTOME_ZINC_INFLUX_INTO_CELLS_BY_THE_SLC39_GENES_FAMILY	;SLC39A3(1),SLC39A4(2)	11	0	4	3	0	0.428571428571	NA	0.0428921568627451	2.37847490151628	0.0140218219631751
REACTOME_ZINC_TRANSPORTATION	;SLC39A3(1),SLC39A4(2)	11	0	4	3	0	0.428571428571	NA	0.0428921568627451	2.37847490151628	0.0140218219631751
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	AGXT(1);ACY3(1),AGXT(2),GLUL(1)	10	1	3	4	0.0909090909091	0.571428571429	11.1386151548425	0.0473856209150326	2.21889083180686	0.0255550855898668
KEGG_PARKINSONS_DISEASE	NDUFA6(1),NDUFV1(1);CASP3(1),GPR37(1),UQCRC1(1),VDAC3(1)	10	1	3	4	0.0909090909091	0.571428571429	11.1386151548425	0.0473856209150326	2.21889083180686	0.0255550855898668
BIOCARTA_IL10_PATHWAY	;STAT4(1),STAT5A(1)	11	0	5	2	0	0.285714285714	NA	0.137254901960784	1.88034951158403	0.0521440886453254
BIOCARTA_IL22BP_PATHWAY	;STAT4(1),STAT5A(1)	11	0	5	2	0	0.285714285714	NA	0.137254901960784	1.88034951158403	0.0521440886453254
BIOCARTA_LEPTIN_PATHWAY	;LEPR(1),PRKAG3(1)	11	0	5	2	0	0.285714285714	NA	0.137254901960784	1.88034951158403	0.0521440886453254
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	;CASP3(1),PRPH2(1)	11	0	5	2	0	0.285714285714	NA	0.137254901960784	1.88034951158403	0.0521440886453254
KEGG_PROTEASOME	;PSMB4(1),PSMD1(1)	11	0	5	2	0	0.285714285714	NA	0.137254901960784	1.88034951158403	0.0521440886453254
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	;CASP3(1),HIST1H1C(1)	11	0	5	2	0	0.285714285714	NA	0.137254901960784	1.88034951158403	0.0521440886453254
REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX	;PSMB4(1),PSMD1(1)	11	0	5	2	0	0.285714285714	NA	0.137254901960784	1.88034951158403	0.0521440886453254
REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	;PSMB4(1),PSMD1(1)	11	0	5	2	0	0.285714285714	NA	0.137254901960784	1.88034951158403	0.0521440886453254
REACTOME_M_G1_TRANSITION	;PSMB4(1),PSMD1(1)	11	0	5	2	0	0.285714285714	NA	0.137254901960784	1.88034951158403	0.0521440886453254
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	;SLC6A12(2)	11	0	5	2	0	0.285714285714	NA	0.137254901960784	1.88034951158403	0.0521440886453254
