Row.names	PathwayMutatedGenes	BRCAXControl_NumNonMuts	BRCAXControl_NumMuts	BRCAControl_NumNonMuts	BRCAControl_NumMuts	BRCAXControl_MutationRate	BRCAControl_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOLGPI_ANCHOR_BIOSYNTHESIS	;GPAA1(2),GPLD1(2),PIGG(1),PIGZ(1)	7	0	3	6	0	0.666666666667	NA	0.0104895104895105	2.73252020425589	0.00347823583045355
KEGG_CHAGAS_DISEASE_AMERICAN_TRYPANOSOMIASIS	;GNAI2(1),IRAK1(1),MAPK13(1),PIK3R5(1),TGFB2(1),TGFBR1(2),TLR6(1)	7	0	4	5	0	0.555555555556	NA	0.0288461538461538	2.37835356004225	0.0127219985826609
KEGG_LEISHMANIASIS	;IRAK1(1),MAPK13(1),NCF2(2),TGFB2(1)	7	0	4	5	0	0.555555555556	NA	0.0288461538461538	2.37835356004225	0.0127219985826609
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	;ACTN3(2),H2BFM(1),HIST1H2AH(1),HIST1H2BO(1),HIST2H2AC(1),HIST2H2BE(1)	7	0	4	5	0	0.555555555556	NA	0.0288461538461538	2.37835356004225	0.0127219985826609
KEGG_PHAGOSOME	COMP(1),CORO1A(1);ATP6V1D(1),MARCO(2),NCF2(2),TLR6(1)	6	1	3	6	0.142857142857	0.666666666667	10.0259456139408	0.0545454545454546	2.09523809523809	0.0225750602855535
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	;ACTN3(2),CACNB3(1),ITGA7(1),SGCA(1)	7	0	5	4	0	0.444444444444	NA	0.0692307692307693	2.03670030886926	0.0295310536589422
KEGG_CARBOHYDRATE_DIGESTION_AND_ABSORPTION	;GNAT3(1),LCT(1),PIK3R5(1),SLC2A5(1)	7	0	5	4	0	0.444444444444	NA	0.0692307692307693	2.03670030886926	0.0295310536589422
KEGG_RENAL_CELL_CARCINOMA	;ARNT(1),HGF(1),PDGFB(1),PIK3R5(1),TGFB2(1)	7	0	5	4	0	0.444444444444	NA	0.0692307692307693	2.03670030886926	0.0295310536589422
KEGG_VEGF_SIGNALING_PATHWAY	;CASP9(1),MAPK13(1),PIK3R5(1),PLA2G12B(1)	7	0	5	4	0	0.444444444444	NA	0.0692307692307693	2.03670030886926	0.0295310536589422
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	AMH(1),CCR8(1),EDA(1),IL6ST(1),LEPR(1),PDGFRA(1),TNFRSF10C(2);HGF(1),IFNA14(1),IFNA6(1),IL11(1),IL17A(1),IL17RB(1),IL25(1),IL2RA(1),PDGFB(1),TGFB2(1),TGFBR1(2)	2	5	0	9	0.714285714286	1	NA	0.175	1.71428571428571	0.070766097329354
KEGG_ADHERENS_JUNCTION	;ACTN3(2),TGFBR1(2)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
KEGG_CELL_ADHESION_MOLECULES_CAMS	;CADM1(1),CD22(1),CLDN23(1)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
KEGG_CHOLINERGIC_SYNAPSE	;ADCY5(1),GNAI2(1),PIK3R5(1)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
