Row.names	PathwayMutatedGenes	BRCACancer_NumNonMuts	BRCACancer_NumMuts	BRCAControl_NumNonMuts	BRCAControl_NumMuts	BRCACancer_MutationRate	BRCAControl_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	SLC15A1(1),SLC5A11(1),SLC7A6(1),SLC9A9(1);RHCG(1),SLC13A1(1),SLC13A3(1),SLC16A7(1),SLC24A2(1),SLC26A1(1),SLC2A3(1),SLC2A5(1),SLC39A2(1),SLC44A5(1),SLC5A8(1)	6	2	2	7	0.25	0.777777777778	8.82790571151623	0.0444672974084739	2.17608352463154	0.0253526167473186
BIOCARTA_ARAP_PATHWAY	;CYTH2(1),CYTH4(1),GPLD1(2)	8	0	5	4	0	0.444444444444	NA	0.0529411764705882	2.15628677350037	0.0257079154637993
REACTOME_RNA_POLYMERASE_I_PROMOTER_CLEARANCE	;ERCC3(1),HIST1H2BO(1),HIST2H2AC(1),HIST2H2BE(1),POLR1C(1)	8	0	5	4	0	0.444444444444	NA	0.0529411764705882	2.15628677350037	0.0257079154637993
KEGG_LYSINE_DEGRADATION	ALDH3A2(1);BBOX1(1),GLT25D1(1),HADHA(2),PLOD2(1)	7	1	4	5	0.125	0.555555555556	7.63290662058381	0.0882352941176471	1.85416311996029	0.0395181948418212
REACTOME_GLUCOSE_AND_OTHER_SUGAR_SLC_TRANSPORTERS	SLC5A11(1);RHCG(1),SLC13A1(1),SLC13A3(1),SLC16A7(1),SLC2A3(1),SLC2A5(1),SLC39A2(1),SLC44A5(1)	7	1	4	5	0.125	0.555555555556	7.63290662058381	0.0882352941176471	1.85416311996029	0.0395181948418212
REACTOME_RNA_POLYMERASE_I_III_AND_MITOCHONDRIAL_TRANSCRIPTION	GTF3A(1);ERCC3(1),HIST1H2BO(1),HIST2H2AC(1),HIST2H2BE(1),POLR1C(1),POLR3E(1)	7	1	4	5	0.125	0.555555555556	7.63290662058381	0.0882352941176471	1.85416311996029	0.0395181948418212
KEGG_RHEUMATOID_ARTHRITIS	;ATP6V1D(1),IL11(1),IL17A(1),TGFB2(1)	8	0	6	3	0	0.333333333333	NA	0.123529411764706	1.79947082168487	0.0534847881689078
KEGG_RIBOFLAVIN_METABOLISM	;ACPP(1),ENPP1(1),FLAD1(1)	8	0	6	3	0	0.333333333333	NA	0.123529411764706	1.79947082168487	0.0534847881689078
KEGG_TASTE_TRANSDUCTION	;GNAT3(1),TAS2R39(1),TAS2R8(1)	8	0	6	3	0	0.333333333333	NA	0.123529411764706	1.79947082168487	0.0534847881689078
KEGG_VIRAL_MYOCARDITIS	;CASP3(1),CASP9(1),SGCA(1)	8	0	6	3	0	0.333333333333	NA	0.123529411764706	1.79947082168487	0.0534847881689078
