Row.names	GeneSymbol	UtahControl_NumNonMuts	UtahControl_NumMuts	UtahCancer_NumNonMuts	UtahCancer_NumMuts	UtahControl_MutationRate	UtahCancer_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
6894	TARBP1;TARBP1	16	0	13	6	0	0.315789473684	NA	0.0167155425219941	2.46941362063225	0.0096496330760952
386679	KRTAP10-2;KRTAP10-2	16	0	14	5	0	0.263157894737	NA	0.0358190196899874	2.21636655401456	0.0159255859754158
1836	SLC26A2;SLC26A2	16	0	15	4	0	0.210526315789	NA	0.074025974025974	1.95014256585632	0.0348849651021161
5664	PSEN2;PSEN2	16	0	15	4	0	0.210526315789	NA	0.074025974025974	1.95014256585632	0.0348849651021161
10309	CCNO;CCNO	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
10765	KDM5B;KDM5B	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
133396	IL31RA;IL31RA	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
153579	BTNL9;BTNL9	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
22843	PPM1E;PPM1E	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
25974	MMACHC;MMACHC	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
26750	RPS6KC1;RPS6KC1	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
29935	RPA4;RPA4	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
3364	HUS1;HUS1	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
3632	INPP5A;INPP5A	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
4352	MPL;MPL	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
5129	CDK18;CDK18	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
51778	MYOZ2;MYOZ2	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
57460	PPM1H;PPM1H	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
7773	ZNF230;ZNF230	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
79582	SPAG16;SPAG16	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
79716	NPEPL1;NPEPL1	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
84077	C3orf20;C3orf20	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
152	ADRA2C;ADRA2C	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
