Row.names	PathwayMutatedGenes	BRCAControl_NumNonMuts	BRCAControl_NumMuts	BRCACancer_NumNonMuts	BRCACancer_NumMuts	BRCAControl_MutationRate	BRCACancer_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
ST_GAQ_PATHWAY	;ITPR1(1),ITPR2(1),NFKB1(1),NFKB2(1),PLD3(1)	9	0	3	5	0	0.625	NA	0.00904977375565611	2.82289744765905	0.00267059335895806
KEGG_SALIVARY_SECRETION	ADCY5(1);ADCY5(1),AQP5(1),ATP2B1(1),CALML5(1),ITPR1(1),ITPR2(1),KCNMA1(1)	8	1	2	6	0.111111111111	0.75	18.4381503307166	0.0133689839572193	2.67157286767582	0.00656737531399916
KEGG_LONG_TERM_POTENTIATION	;ARAF(1),CALML5(1),ITPR1(1),ITPR2(1)	9	0	4	4	0	0.5	NA	0.0294117647058823	2.42582262018792	0.00997876750753106
KEGG_CALCIUM_SIGNALING_PATHWAY	AGTR1(1),AVPR1B(1),PTAFR(1),TACR3(1);AGTR1(1),ATP2B1(1),CALML5(1),CHRM5(1),ERBB2(1),F2R(1),ITPR1(1),ITPR2(1),PDGFRA(1)	6	3	1	7	0.333333333333	0.875	11.6391109331449	0.0364047716988894	2.2650291704208	0.0143613320289586
REACTOME_SIGNALING_IN_IMMUNE_SYSTEM	CD47(1),CD96(1),DUSP7(1),IRAK1(1),MERTK(1),TLR10(1),TLR6(1);C1QB(1),C1R(1),CD274(1),COL1A2(1),ICAM3(1),IRF3(1),ITGA3(1),L1CAM(1),NFKB1(1),NFKB2(1),SIRPA(1),SLC7A6(1),TLR3(1),ULBP3(1)	6	3	1	7	0.333333333333	0.875	11.6391109331449	0.0364047716988894	2.2650291704208	0.0143613320289586
Taube_EMT	ANXA3(1),DDR2(1),FGFR2(1),RHOD(1),TSHZ1(1);COL1A2(1),EPB41L4B(1),FBLN1(1),FGFR2(1),FST(1),HOOK1(1),NEFM(1),PPM1D(1),SEMA5A(1),SERPINB2(1),SMPDL3B(1),SYK(1),TMEM30B(1),TMEM40(1),TNFAIP6(1)	6	3	1	7	0.333333333333	0.875	11.6391109331449	0.0364047716988894	2.2650291704208	0.0143613320289586
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	ENO1(1);ADH4(1),ALDH3A2(1),ENO1(1),GAPDHS(1),PDHA2(1)	8	1	3	5	0.111111111111	0.625	11.1091655933841	0.0429864253393666	2.21303340124293	0.0185449717245967
KEGG_OOCYTE_MEIOSIS	ADCY5(1);ADCY5(1),CALML5(1),CCNE1(1),ITPR1(1),ITPR2(1)	8	1	3	5	0.111111111111	0.625	11.1091655933841	0.0429864253393666	2.21303340124293	0.0185449717245967
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	ADRA2C(1);ADRA2C(4),CHRM5(1)	8	1	3	5	0.111111111111	0.625	11.1091655933841	0.0429864253393666	2.21303340124293	0.0185449717245967
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION	ADRA2C(1);ADRA2C(4),FGB(1),TLN1(1)	8	1	3	5	0.111111111111	0.625	11.1091655933841	0.0429864253393666	2.21303340124293	0.0185449717245967
BIOCARTA_AGR_PATHWAY	;MUSK(1),NRG3(1),RAPSN(1)	9	0	5	3	0	0.375	NA	0.0823529411764706	2.02440467439548	0.0317136350937645
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	;PARS2(2),QARS(1),TARS2(1),YARS2(1)	9	0	5	3	0	0.375	NA	0.0823529411764706	2.02440467439548	0.0317136350937645
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	;ADH4(1),CYP3A7(1),GSTA2(1)	9	0	5	3	0	0.375	NA	0.0823529411764706	2.02440467439548	0.0317136350937645
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	;MPI(1),MTMR1(1),PFKFB1(1),PMM2(1)	9	0	5	3	0	0.375	NA	0.0823529411764706	2.02440467439548	0.0317136350937645
KEGG_RETINOL_METABOLISM	;ADH4(1),CYP3A7(1),RDH8(1)	9	0	5	3	0	0.375	NA	0.0823529411764706	2.02440467439548	0.0317136350937645
REACTOME_BASIGIN_INTERACTIONS	;ITGA3(1),L1CAM(1),SLC7A6(1)	9	0	5	3	0	0.375	NA	0.0823529411764706	2.02440467439548	0.0317136350937645
REACTOME_HUMAN_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	;NFKB1(1),NFKB2(1),TLR3(1)	9	0	5	3	0	0.375	NA	0.0823529411764706	2.02440467439548	0.0317136350937645
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION	;PARS2(2),QARS(1),TARS2(1),YARS2(1)	9	0	5	3	0	0.375	NA	0.0823529411764706	2.02440467439548	0.0317136350937645
REACTOME_SEMAPHORIN_INTERACTIONS	;ERBB2(1),RRAS(1),SEMA5A(1),TLN1(1)	9	0	5	3	0	0.375	NA	0.0823529411764706	2.02440467439548	0.0317136350937645
REACTOME_TRNA_AMINOACYLATION	;PARS2(2),QARS(1),TARS2(1),YARS2(1)	9	0	5	3	0	0.375	NA	0.0823529411764706	2.02440467439548	0.0317136350937645
REACTOME_VIRAL_DSRNA_TLR3_TRIF_COMPLEX_ACTIVATES_RIP1	;NFKB1(1),NFKB2(1),TLR3(1)	9	0	5	3	0	0.375	NA	0.0823529411764706	2.02440467439548	0.0317136350937645
ST_B_CELL_ANTIGEN_RECEPTOR	;NFKB1(1),NFKB2(1),SYK(1)	9	0	5	3	0	0.375	NA	0.0823529411764706	2.02440467439548	0.0317136350937645
ST_GA13_PATHWAY	;NFKB1(1),NFKB2(1),PLD3(1)	9	0	5	3	0	0.375	NA	0.0823529411764706	2.02440467439548	0.0317136350937645
KEGG_BASAL_CELL_CARCINOMA	FZD1(1);APC2(1),DVL3(1),FZD1(1),FZD7(1)	8	1	4	4	0.111111111111	0.5	7.00719541976206	0.110859728506787	1.75646952298786	0.0534946321756617
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	CYP2S1(1);ADH4(1),CYP3A7(1),EPHX1(1),GSTA2(1)	8	1	4	4	0.111111111111	0.5	7.00719541976206	0.110859728506787	1.75646952298786	0.0534946321756617
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	ITGA7(1);COL1A2(1),FGB(1),ICAM3(1),ITGA3(1),ITGA7(1),TLN1(1)	8	1	4	4	0.111111111111	0.5	7.00719541976206	0.110859728506787	1.75646952298786	0.0534946321756617
REACTOME_TOLL_LIKE_RECEPTOR_3_CASCADE	DUSP7(1);IRF3(1),NFKB1(1),NFKB2(1),TLR3(1)	8	1	4	4	0.111111111111	0.5	7.00719541976206	0.110859728506787	1.75646952298786	0.0534946321756617
KEGG_CHOLINERGIC_SYNAPSE	ADCY5(1),GNAI2(1),PIK3R5(1);ADCY5(1),CHRM5(1),CREB3L4(1),ITPR1(1),ITPR2(1),JAK2(1)	6	3	2	6	0.333333333333	0.75	5.32669667954546	0.10896750308515	1.71796067734069	0.0595385564689165
KEGG_RNA_DEGRADATION	ENO1(1),EXOSC1(1),LSM7(1);ENO1(1),PABPC3(1),PABPC4L(2),PATL1(1),TOB2(1),ZCCHC7(1)	6	3	2	6	0.333333333333	0.75	5.32669667954546	0.10896750308515	1.71796067734069	0.0595385564689165
KEGG_DILATED_CARDIOMYOPATHY	ADCY5(1),CACNB3(1),ITGA7(1),SGCA(1),TGFB2(1);ADCY5(1),CACNB3(1),ITGA3(1),ITGA7(1),MYL2(1)	7	2	3	5	0.222222222222	0.625	5.18712924889159	0.117030028794735	1.68425246005649	0.0744959064237626
KEGG_PANCREATIC_SECRETION	ADCY5(1),CEL(1),CELA2A(1),PLA2G12B(1);ADCY5(1),ATP2B1(1),CLCA1(1),ITPR1(1),ITPR2(1),KCNMA1(1),PLA2G2D(1)	7	2	3	5	0.222222222222	0.625	5.18712924889159	0.117030028794735	1.68425246005649	0.0744959064237626
KEGG_WNT_SIGNALING_PATHWAY	FZD1(1),PRICKLE1(1);APC2(1),DVL3(1),FZD1(1),FZD7(1),LRP6(1),SFRP4(1)	7	2	3	5	0.222222222222	0.625	5.18712924889159	0.117030028794735	1.68425246005649	0.0744959064237626
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	ERCC3(1),PABPN1(1);CLP1(1),PABPN1(1),SUPT4H1(1),TAF1(1),TAF11(1)	7	2	3	5	0.222222222222	0.625	5.18712924889159	0.117030028794735	1.68425246005649	0.0744959064237626
BIOCARTA_ACH_PATHWAY	;MUSK(1),RAPSN(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
BIOCARTA_CELLCYCLE_PATHWAY	;CCNE1(1),CDC25A(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
BIOCARTA_CLASSIC_PATHWAY	;C1QB(1),C1R(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
BIOCARTA_COMP_PATHWAY	;C1QB(1),C1R(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
BIOCARTA_ECM_PATHWAY	;MYL2(1),TLN1(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
BIOCARTA_IL12_PATHWAY	;IL18R1(1),JAK2(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
BIOCARTA_MCALPAIN_PATHWAY	;MYL2(1),TLN1(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
BIOCARTA_P53HYPOXIA_PATHWAY	;RPA1(1),TAF1(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
BIOCARTA_RACCYCD_PATHWAY	;CCNE1(1),NFKB1(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
BIOCARTA_RANKL_PATHWAY	;IFNAR1(1),NFKB1(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
BIOCARTA_RHO_PATHWAY	;MYL2(1),TLN1(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	;CYB5R3(1),GNE(1),MPI(1),PMM2(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
KEGG_CITRATE_CYCLE_TCA_CYCLE	;PDHA2(1),SUCLG1(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
KEGG_HOMOLOGOUS_RECOMBINATION	;RAD54L(1),RPA1(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	;CCL25(1),IL5(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	;PDX1(2)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
KEGG_PRION_DISEASES	;C1QB(1),NCAM2(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	;MVD(2)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
KEGG_THYROID_CANCER	;CCDC6(1),TFG(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	;CREB3L4(1),DYNC1LI1(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	;CCL25(1),CCR6(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
REACTOME_CHOLESTEROL_BIOSYNTHESIS	;MVD(2)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
REACTOME_CLASS_C3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	;GRM2(1),GRM7(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
