Row.names	PathwayMutatedGenes	BRCA12Cancer_NumNonMuts	BRCA12Cancer_NumMuts	BRCAXCancer_NumNonMuts	BRCAXCancer_NumMuts	BRCA12Cancer_MutationRate	BRCAXCancer_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
KEGG_VITAMIN_DIGESTION_AND_ABSORPTION	;MMACHC(3),PNLIP(1),SCARB1(2),SLC5A6(1)	8	0	4	7	0	0.636363636364	NA	0.00654917837580377	2.83912064918102	0.00298871872028243
REACTOME_PI3K_AKT_SIGNALLING	;MDM2(3),MTOR(1),PIK3CA(2)	8	0	5	6	0	0.545454545455	NA	0.0170278637770898	2.52539548934862	0.00696034849557844
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	SLC15A1(1),SLC29A2(1),SLC37A4(1),SLC5A11(1),SLC7A6(1),SLC9A9(1);ABCD3(1),NUP155(1),SLC15A4(2),SLC1A3(1),SLC26A2(4),SLC2A11(1),SLC2A3(1),SLC2A4(1),SLC5A7(1),SLC7A3(3),SLC9A6(1)	5	3	1	10	0.375	0.909090909091	13.8089870997783	0.0237358101135191	2.47278308332053	0.012526226432299
BIOCARTA_CTCF_PATHWAY	TGFBR2(1);MDM2(3),MTOR(1),PIK3CA(2),TGFB2(1),TGFBR1(3)	7	1	4	7	0.125	0.636363636364	10.5808899536387	0.0371120107962214	2.22898241431057	0.0156294042287426
BIOCARTA_P38MAPK_PATHWAY	MAP3K9(1);MAP3K9(1),TGFB2(1),TGFBR1(3),TRAF2(3)	7	1	4	7	0.125	0.636363636364	10.5808899536387	0.0371120107962214	2.22898241431057	0.0156294042287426
BIOCARTA_ARF_PATHWAY	;MDM2(3),PIK3CA(2)	8	0	6	5	0	0.454545454545	NA	0.0397316821465428	2.22150060433594	0.0182645716209257
BIOCARTA_IL7_PATHWAY	;NMI(2),PIK3CA(2),PTK2B(1)	8	0	6	5	0	0.454545454545	NA	0.0397316821465428	2.22150060433594	0.0182645716209257
KEGG_VIRAL_MYOCARDITIS	;EIF4G3(1),PRF1(3),SGCA(1)	8	0	6	5	0	0.454545454545	NA	0.0397316821465428	2.22150060433594	0.0182645716209257
REACTOME_HORMONE_BIOSYNTHESIS	;CYP27B1(1),PNMT(2),STAR(1),TBXAS1(1)	8	0	6	5	0	0.454545454545	NA	0.0397316821465428	2.22150060433594	0.0182645716209257
REACTOME_NEURORANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL	;GRIK1(1),GRIP2(1),MDM2(3)	8	0	6	5	0	0.454545454545	NA	0.0397316821465428	2.22150060433594	0.0182645716209257
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	;EBP(1),NOLC1(1),PIK3CA(2),SLC2A4(1)	8	0	6	5	0	0.454545454545	NA	0.0397316821465428	2.22150060433594	0.0182645716209257
KEGG_APOPTOSIS	DFFB(1),ENDOG(1),NFKB1(1);CAPN1(1),PIK3CA(2),PIK3R5(1),TNFRSF10A(1),TNFRSF10C(1),TRAF2(3)	6	2	3	8	0.25	0.727272727273	7.02745098847316	0.0548940223862824	2.05713834775841	0.0253297131345255
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	SLC15A1(1),SLC5A11(1),SLC7A6(1),SLC9A9(1);SLC15A4(2),SLC1A3(1),SLC26A2(4),SLC2A11(1),SLC2A3(1),SLC2A4(1),SLC5A7(1),SLC7A3(3),SLC9A6(1)	6	2	3	8	0.25	0.727272727273	7.02745098847316	0.0548940223862824	2.05713834775841	0.0253297131345255
KEGG_CHRONIC_MYELOID_LEUKEMIA	ARAF(1),NFKB1(1),TGFBR2(1);MDM2(3),PIK3CA(2),PIK3R5(1),SHC2(1),TGFB2(1),TGFBR1(3)	5	3	2	9	0.375	0.818181818182	6.6105066834864	0.0673969992855442	1.9772447378225	0.0419638354408196
