Row.names	PathwayMutatedGenes	BRCAXCancer_NumNonMuts	BRCAXCancer_NumMuts	BRCA12Cancer_NumNonMuts	BRCA12Cancer_NumMuts	BRCAXCancer_MutationRate	BRCA12Cancer_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
ST_GAQ_PATHWAY	;ITPR1(1),ITPR2(1),NFKB1(1),NFKB2(1),PLD3(1)	11	0	3	5	0	0.625	NA	0.00481596147230822	3.05456333096191	0.00129875690278825
KEGG_RNA_DEGRADATION	EXOSC9(1);ENO1(1),PABPC3(1),PABPC4L(2),PATL1(1),TOB2(1),ZCCHC7(1)	10	1	2	6	0.0909090909091	0.75	22.9079018077354	0.00627133444470905	2.9405178152232	0.00284496321073108
KEGG_GASTRIC_ACID_SECRETION	;ADCY5(1),CALML5(1),ITPR1(1),ITPR2(1)	11	0	4	4	0	0.5	NA	0.0180598555211558	2.63944438597722	0.00556940377228088
KEGG_LONG_TERM_POTENTIATION	;ARAF(1),CALML5(1),ITPR1(1),ITPR2(1)	11	0	4	4	0	0.5	NA	0.0180598555211558	2.63944438597722	0.00556940377228088
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	AGTR1(1),C3AR1(1),CCR5(1),CXCR3(1);AGTR1(1),CCL25(1),CCR6(1),F2R(1),MC2R(1),OPRL1(1),PROKR2(1),QRFPR(1),RLN3(2)	8	3	1	7	0.272727272727	0.875	15.3975630585345	0.0148844963086449	2.59591267693323	0.00566422582360918
KEGG_SALIVARY_SECRETION	ADRA1B(2),LPO(2);ADCY5(1),AQP5(1),ATP2B1(1),CALML5(1),ITPR1(1),ITPR2(1),KCNMA1(1)	9	2	2	6	0.181818181818	0.75	11.2522759332342	0.0215527506549178	2.47664712701175	0.00942229982111501
KEGG_OOCYTE_MEIOSIS	IGF1R(1);ADCY5(1),CALML5(1),CCNE1(1),ITPR1(1),ITPR2(1)	10	1	3	5	0.0909090909091	0.625	13.8089870997783	0.0237358101135191	2.47278308332053	0.012526226432299
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	ADRA2C(1);ADCY5(1),ADRA2C(4),CACNB3(1)	10	1	3	5	0.0909090909091	0.625	13.8089870997783	0.0237358101135191	2.47278308332053	0.012526226432299
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION	ADRA2C(1),FGB(1);ADRA2C(4),FGB(1),TLN1(1)	10	1	3	5	0.0909090909091	0.625	13.8089870997783	0.0237358101135191	2.47278308332053	0.012526226432299
BIOCARTA_TID_PATHWAY	;JAK2(1),NFKB1(1),USH1C(1)	11	0	5	3	0	0.375	NA	0.0577915376676987	2.21324140120322	0.020301703439018
